type,amount_total,amount_k,seq_len,flops,mem
softmax,0.0,0.0,785,7.054422336,305539584
softmax,0.0,0.0,197,1.258395264,83572736
softmax,0.0,0.0,3137,62.104014144,3852649472
fiak,0.7,0.0,785,6.059862336,140464640
fiak,0.7,0.0,197,1.195773264,73338880
fiak,0.7,0.0,3137,46.234014144,1231410176
fiak,0.7,0.2,785,5.637362304,140472320
fiak,0.7,0.2,197,1.141856304,73277440
fiak,0.7,0.2,3137,41.133436992,1232313856
gmm,0.0,0.3,785,5.9921856,236467200
gmm,0.0,0.3,197,1.150837824,79038464
gmm,0.0,0.3,3137,47.652148416,2741359616
