type,amount_total,amount_k,seq_len,mem,flops,time
softmax,0.0,0.0,197,3339264,0.043950,0.127784
fiak,0.7,0.2,197,2902016,0.034239,0.105845
fiak,0.7,0.0,197,2904576,0.038732,0.120113
gmm,0.0,0.3,197,3150336,0.034987,0.118930
softmax,0.0,0.0,785,13481472,0.352368,1.414554
fiak,0.7,0.2,785,6575616,0.234280,1.120048
fiak,0.7,0.0,785,6573056,0.269488,1.317397
gmm,0.0,0.3,785,10516992,0.263848,1.062284
softmax,0.0,0.0,3137,164686848,4.241497,8.031601
fiak,0.7,0.2,3137,55468544,2.493949,4.422917
fiak,0.7,0.0,3137,55468544,2.918997,7.499453
gmm,0.0,0.3,3137,118383104,3.037175,3.021174
