,window_size,gmm,amount_total,amount_k,mem,flops,seq_len,type,type_full,level
0,7,1,0.0,0.0,1.1768179325855228,1.0010015503118819,49,gmm,gmm_0.0_0.0,model
1,14,1,0.0,0.0,1.276887323420207,1.0037264243737412,196,gmm,gmm_0.0_0.0,model
2,21,1,0.0,0.0,1.3557312720386965,1.007336588831643,441,gmm,gmm_0.0_0.0,model
3,7,1,0.6,0.0,1.0383996728715743,0.9909247277862125,49,gmm,gmm_0.6_0.0,model
4,14,1,0.6,0.0,0.9955586175928381,0.9659108219279683,196,gmm,gmm_0.6_0.0,model
5,21,1,0.6,0.0,0.9607683458910806,0.932673072558596,441,gmm,gmm_0.6_0.0,model
6,7,1,0.7,0.0,1.012135721123017,0.9891873445921315,49,gmm,gmm_0.7_0.0,model
7,14,1,0.7,0.0,0.9463623047993659,0.9594466163816823,196,gmm,gmm_0.7_0.0,model
8,21,1,0.7,0.0,0.8951248422755477,0.9202291531797548,441,gmm,gmm_0.7_0.0,model
9,7,1,0.7,0.2,1.021844558237224,0.9564673925247812,49,gmm,gmm_0.7_0.2,model
10,14,1,0.7,0.2,0.9174129427954528,0.9178326980577999,196,gmm,gmm_0.7_0.2,model
11,21,1,0.7,0.2,0.8414052181542404,0.8685290354897796,441,gmm,gmm_0.7_0.2,model
12,7,1,0.7,0.4,0.9807302770368855,0.9198439944064156,49,gmm,gmm_0.7_0.4,model
13,14,1,0.7,0.4,0.8600480247144253,0.8760406842749893,196,gmm,gmm_0.7_0.4,model
14,21,1,0.7,0.4,0.7673163183431452,0.8168430265519343,441,gmm,gmm_0.7_0.4,model
